"number","opened_at","closed_at","priority","state","assignment_group","short_description","location.country","location.name","location.u_it_brm","location.u_it_operations_manager","location.u_region","location.u_site_name","u_resolution_code","u_root_cause","u_root_cause_category","u_root_cause_code","u_root_cause_subcategory","u_rca_required","universal_request.ref_problem_task.u_rca_delivered","universal_request.ref_problem_task.u_rca_delivered_date"
"PRB0050948","2025-08-01 08:58:44","2025-09-25 11:41:22","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Transfer file from Holistech to SAP didn't work on July 1st at 6:00pm (US time) without receiving error report from HolisTech Support ","France","00202","Djilli, Azzeddine","Gauthier, Guillaume","EMEA","Blois - France","Resolved - Root Cause Removed","","Root cause not required","","Sub Root Cause Not Found","Yes","false",""
"PRB0050952","2025-08-12 04:23:58","2025-08-20 05:30:09","2 - High","Pending Change","CFS_PROBLEM_MANAGER","Wired Internet Connection Not Working Properly","Poland","20030","Jaczynski, Piotr","Wojcik, Rafal","EMEA","Rzeszow - Poland","Resolved - Root Cause Removed","","Network","","Connectivity","Yes","false",""
"PRB0050954","2025-08-20 05:03:29","2025-08-27 02:25:59","2 - High","Pending Change","CFS_INCIDENT_MANAGER","P2- Slow Internet Connectivity","Turkey","00269","Tosundur, Murat","Cazan, Anca","EMEA","Izmir - Turkey / ESBAS 2 (PT Phase 1)","Resolved - No Action Taken","","Root Cause Not Found","","Sub Root Cause Not Found","Yes","false",""
"PRB0050956","2025-08-25 03:48:31","2025-09-01 10:06:17","2 - High","Pending Change","CFS_INCIDENT_MANAGER","P2- We have issue with ROIAS-FP03\GROUPE01& can't be accessed","Romania","10304","Serbanuta, Florin-Rafael","Cazan, Anca","EMEA","Iasi - Romania","Resolved - Root Cause Removed","","Hardware","","Configuration","Yes","false",""
"PRB0050959","2025-08-28 07:36:45","2025-09-08 09:14:46","2 - High","Pending Change","CFS_PROBLEM_MANAGER","AZUREUW-DB018 RDP not working post change activity - 10610 - Warwick - United Kingdom - 27th Aug 2025","United Kingdom","10610","Skrzypczynski, Jacob","Proyer, Damon","EMEA","Warwick - United Kingdom","Resolved - Root Cause Removed","Below point can be a root cause of RDS break after domain migration 
1. Broken Trust Relationship RDS servers may no longer trust the new domain or have lost trust with the domain controller
2.Licensing Configuration RDS licensing server might still be pointing to the old domain or using domain-based licensing. 
3. User Profile Service Failures Users may not be able to log in due to profile path issues or SID mismatches. 
4. NLA (Network Level Authentication) Issues If NLA is enabled, and the domain trust is broken, RDP connections may fail.","Under Investigation","","Under Investigation","Yes","false",""
"PRB0050960","2025-08-29 06:27:03","2025-09-03 05:48:06","2 - High","Pending Change","CFS_PROBLEM_MANAGER","FICO Issue - FSG Z001 which should have Profit Center Required in the config appears to have been changed recently to suppressed ","United Kingdom","00274","Marshall, Daren","Proyer, Damon","EMEA","Gillingham - United Kingdom","Resolved - Root Cause Removed","","Software","","Configuration","Yes","false",""
"PRB0050965","2025-09-03 18:46:55","2025-09-19 10:18:02","2 - High","Pending Change","CFS_PROBLEM_MANAGER","FTP Error when Transferring Files to/from SAP PN1 IP 192.105.41.5","Romania","10657","Serkhoshian, Gary","Cazan, Anca","EMEA","Bucharest - Romania","Resolved - Root Cause Removed","Unix team submitted the corrective and preventive actions and got the approval . ","Root cause not required","","Root cause not required","No","false",""
"PRB0050971","2025-09-17 04:19:16","2025-11-14 07:31:44","2 - High","Pending Change","CFS_INCIDENT_MANAGER","TCG Office Network Outage","United Kingdom","00274","Marshall, Daren","Proyer, Damon","EMEA","Gillingham - United Kingdom","Resolved - Root Cause Removed","","Network","","Connectivity","Yes","false",""
"PRB0050973","2025-09-17 11:30:58","2025-10-08 08:45:11","2 - High","Pending Change","CFS_PROBLEM_MANAGER","P2- Network - Unable to connect to WIFI","Romania","10304","Serbanuta, Florin-Rafael","Cazan, Anca","EMEA","Iasi - Romania","Resolved - Root Cause Removed","","Network","","Connectivity","Yes","false",""
"PRB0050976","2025-09-18 16:49:58","2025-10-31 04:21:40","2 - High","Pending Change","CFS_PROBLEM_MANAGER","RCO_NETWORK  Team will deliver RCA for INC7602175 - Network issue on Blois site","France","00202","Djilli, Azzeddine","Gauthier, Guillaume","EMEA","Blois - France","Resolved - Root Cause Removed","","Hardware","","Under Investigation","Yes","false",""
